stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400761,,RIVERSIDE DR - W 89 ST,,40.791851,-73.978233,,,0,
400762,,RIVERSIDE DR - W 91 ST,,40.792603,-73.977074,,,0,
404054,,RIVERSIDE DR - W 94 ST,,40.794594,-73.976166,,,0,
400764,,RIVERSIDE DR - W 97 ST,,40.796398,-73.974205,,,0,
403902,,RIVERSIDE DR - W 100 ST,,40.798702,-73.972984,,,0,
404104,,RIVERSIDE DR - W 103 ST,,40.800526,-73.971268,,,0,
400768,,RIVERSIDE DR - W 106 ST,,40.802242,-73.970222,,,0,
400769,,RIVERSIDE DR - W 108 ST,,40.803673,-73.969147,,,0,
400599,,RIVERSIDE DR - W 112 ST,,40.806297,-73.967667,,,0,
400771,,RIVERSIDE DR - W 114 ST,,40.807865,-73.966629,,,0,
400772,,RIVERSIDE DR - W 116 ST,,40.809109,-73.965485,,,0,
400602,,RIVERSIDE DR - W 119 ST,,40.810909,-73.964172,,,0,
404257,,RIVERSIDE DR - W 120 ST,,40.811584,-73.963684,,,0,
404258,,RIVERSIDE DR - W 122 ST,,40.812935,-73.9627,,,0,
404821,,RIVERSIDE DR - TIEMANN PL,,40.816071,-73.961166,,,0,
404019,,W 135 ST - RIVERSIDE DR,,40.820801,-73.956985,,,0,
400623,,BROADWAY - W 165 ST,,40.839363,-73.940788,,,0,
400624,,BROADWAY - W 167 ST,,40.840343,-73.940193,,,0,
400796,,BROADWAY - W 171 ST,,40.84351,-73.939003,,,0,
402535,,BROADWAY - W 173 ST,,40.844952,-73.938675,,,0,
400798,,BROADWAY - W 175 ST,,40.846478,-73.938248,,,0,
400799,,W 178 ST - BROADWAY,,40.848278,-73.937561,,,0,
403046,,BROADWAY - W 178 ST,,40.848316,-73.937798,,,0,
400809,,BROADWAY - W 176 ST,,40.846657,-73.938431,,,0,
400810,,BROADWAY - W 174 ST,,40.845169,-73.938866,,,0,
400811,,BROADWAY - W 172 ST,,40.843651,-73.939209,,,0,
400812,,BROADWAY - W 170 ST,,40.842567,-73.939308,,,0,
404918,,BROADWAY - W 167 ST,,40.840168,-73.940636,,,0,
400814,,BROADWAY - W 164 ST,,40.838196,-73.94207,,,0,
400815,,BROADWAY - W 162 ST,,40.836998,-73.942955,,,0,
400816,,BROADWAY - W 160 ST,,40.835735,-73.943871,,,0,
400087,,W 146 ST - MALCOLM X BL,,40.821152,-73.935974,,,0,
404339,,MALCOLM X BL - W 139 ST,,40.816345,-73.9394,,,0,
404338,,MALCOLM X BL - W 137 ST,,40.815083,-73.940331,,,0,
401069,,MALCOLM X BL - W 135 ST,,40.813713,-73.941322,,,0,
401070,,MALCOLM X BL - W 132 ST,,40.811954,-73.942604,,,0,
404337,,MALCOLM X BL - W 129 ST,,40.810005,-73.944031,,,0,
404336,,MALCOLM X BL - W 127 ST,,40.808754,-73.944939,,,0,
404284,,MALCOLM X BL - W 125 ST,,40.807419,-73.945915,,,0,
401074,,MALCOLM X BL - W 122 ST,,40.805595,-73.94725,,,0,
404978,,MALCOLM X B - W 119 ST,,40.803638,-73.948677,,,0,
404274,,W 116 ST - MALCOLM X BL,,40.802292,-73.950027,,,0,
401078,,W 116 ST - ST NICHOLAS AV,,40.803562,-73.953094,,,0,
401079,,W 116 ST - FRED DOUGLASS BL,,40.80442,-73.955139,,,0,
403392,,MANHATTAN AV - CATHEDRAL PY,,40.800884,-73.959938,,,0,
401084,,MANHATTAN AV - W 108 ST,,40.799755,-73.960762,,,0,
401085,,MANHATTAN AV - W 106 ST,,40.798801,-73.961456,,,0,
401086,,COLUMBUS AV - W 106 ST,,40.798916,-73.963234,,,0,
401087,,COLUMBUS AV - W 102 ST,,40.797405,-73.964333,,,0,
401088,,COLUMBUS AV - W 100 ST,,40.795067,-73.966049,,,0,
403362,,COLUMBUS AV - W 97 ST,,40.793274,-73.967361,,,0,
401090,,COLUMBUS AV - W 94 ST,,40.79129,-73.968788,,,0,
401091,,COLUMBUS AV - W 92 ST,,40.790024,-73.969719,,,0,
401092,,COLUMBUS AV - W 89 ST,,40.788158,-73.971085,,,0,
401093,,COLUMBUS AV - W 86 ST,,40.786186,-73.972527,,,0,
401094,,COLUMBUS AV - W 84 ST,,40.784897,-73.973465,,,0,
404838,,COLUMBUS AV - W 80 ST,,40.782806,-73.974976,,,0,
401096,,COLUMBUS AV - W 78 ST,,40.780994,-73.976311,,,0,
403372,,COLUMBUS AV - W 75 ST,,40.779099,-73.977699,,,0,
401099,,COLUMBUS AV - W 72 ST,,40.777084,-73.979156,,,0,
401100,,COLUMBUS AV - W 69 ST,,40.775227,-73.980515,,,0,
401101,,COLUMBUS AV - W 66 ST,,40.773754,-73.98159,,,0,
400949,,7 AV - W 57 ST,,40.765236,-73.980377,,,0,
400950,,7 AV - W 54 ST,,40.763699,-73.981483,,,0,
803136,,7 AV - W 52 ST,,40.762424,-73.982384,,,0,
803137,,7 AV - W 49 ST,,40.760559,-73.983749,,,0,
803138,,7 AV - W 44 ST,,40.757881,-73.985687,,,0,
404153,,7 AV - W 41 ST,,40.755482,-73.98745,,,0,
401358,,7 AV - W 39 ST,,40.753838,-73.988678,,,0,
401359,,7 AV - W 37 ST,,40.752613,-73.989578,,,0,
903057,,7 AV - W 34 ST,,40.750851,-73.990875,,,0,
401361,,7 AV - W 31 ST,,40.748859,-73.99231,,,0,
401363,,7 AV - W 28 ST,,40.747036,-73.993637,,,0,
401364,,7 AV - W 25 ST,,40.745178,-73.994995,,,0,
404244,,7 AV - W 23 ST,,40.743813,-73.995987,,,0,
401366,,7 AV - W 20 ST,,40.742027,-73.997284,,,0,
803139,,7 AV - W 17 ST,,40.740414,-73.998413,,,0,
401294,,W 14 ST - 7 AV,,40.738289,-73.999268,,,0,
903176,,AV OF THE AMERICAS - W 14 ST,,40.737411,-73.996696,,,0,
400726,,AV OF THE AMERICAS - W 14 ST,,40.737453,-73.996674,,,0,
903134,,AV OF THE AMERICAS - W 34 ST,,40.749825,-73.987656,,,0,
401021,,AMSTERDAM AV - W 72 ST,,40.778923,-73.98127,,,0,
401022,,AMSTERDAM AV - W 75 ST,,40.780224,-73.980316,,,0,
401023,,AMSTERDAM AV - W 77 ST,,40.782055,-73.978989,,,0,
401024,,AMSTERDAM AV - W 79 ST,,40.783279,-73.978088,,,0,
401025,,AMSTERDAM AV - W 81 ST,,40.784687,-73.977074,,,0,
401026,,AMSTERDAM AV - W 83 ST,,40.785957,-73.976151,,,0,
401027,,AMSTERDAM AV - W 86 ST,,40.787952,-73.974693,,,0,
404320,,AMSTERDAM AV - W 89 ST,,40.78949,-73.973572,,,0,
401029,,AMSTERDAM AV - W 91 ST,,40.791084,-73.972404,,,0,
401030,,AMSTERDAM AV - W 93 ST,,40.792343,-73.971481,,,0,
401031,,AMSTERDAM AV - W 96 ST,,40.794323,-73.970039,,,0,
401032,,AMSTERDAM AV - W 98 ST,,40.795601,-73.969109,,,0,
401033,,AMSTERDAM AV - W 100 ST,,40.796871,-73.968178,,,0,
401034,,AMSTERDAM AV - W 102 ST,,40.797989,-73.967361,,,0,
401035,,AMSTERDAM AV - W 104 ST,,40.799393,-73.966339,,,0,
401036,,W 106 ST - AMSTERDAM AV,,40.800186,-73.965355,,,0,
401037,,W 106 ST - COLUMBUS AV,,40.798988,-73.962524,,,0,
401038,,MANHATTAN AV - W 106 ST,,40.798939,-73.961182,,,0,
401039,,MANHATTAN AV - W 109 ST,,40.800472,-73.960052,,,0,
401044,,W 116 ST - FRED DOUGLASS BL,,40.80423,-73.9552,,,0,
401045,,W 116 ST - ADAM C POWELL BL,,40.802906,-73.952034,,,0,
404341,,MALCOLM X BL - W 116 ST,,40.802338,-73.94928,,,0,
401047,,MALCOLM X BL - W 119 ST,,40.804173,-73.947945,,,0,
404333,,MALCOLM X BL - W 122 ST,,40.806068,-73.946564,,,0,
404334,,MALCOLM X BL - W 125 ST,,40.808041,-73.945122,,,0,
401051,,MALCOLM X BL - W 127 ST,,40.809383,-73.944138,,,0,
405162,,MALCOLM X BL - W 130 ST,,40.810955,-73.942986,,,0,
405014,,MALCOLM X BL - W 132 ST,,40.8125,-73.941856,,,0,
401055,,MALCOLM X BL - W 135 ST,,40.813931,-73.940834,,,0,
401056,,MALCOLM X BL - W 137 ST,,40.81575,-73.939484,,,0,
403443,,E 10 ST - AV D,,40.725082,-73.975456,,,0,
401552,,E 10 ST - AV C,,40.726048,-73.977844,,,0,
401553,,E 10 ST - AV B,,40.727051,-73.980217,,,0,
401554,,E 10 ST - AV A,,40.727829,-73.982071,,,0,
401555,,E 9 ST - AV A,,40.727463,-73.983002,,,0,
401556,,E 9 ST - 1 AV,,40.728394,-73.985207,,,0,
401557,,E 9 ST - 2 AV,,40.729412,-73.98764,,,0,
401558,,E 9 ST - 3 AV,,40.730095,-73.989265,,,0,
903135,,E 9 ST - 4 AV,,40.730732,-73.990746,,,0,
400176,,E 9 ST - BROADWAY,,40.731426,-73.992409,,,0,
401561,,E 9 ST - UNIVERSITY PL,,40.732357,-73.994606,,,0,
401562,,W 9 ST - 5 AV,,40.733089,-73.996368,,,0,
401563,,W 9 ST - AV OF THE AMERICAS,,40.734158,-73.998909,,,0,
401564,,CHRISTOPHER ST - GREENWICH AV,,40.734112,-73.999947,,,0,
401565,,CHRISTOPHER ST - WAVERLY PL,,40.733749,-74.002197,,,0,
401566,,CHRISTOPHER ST - 7 AV S,,40.733578,-74.003342,,,0,
401567,,CHRISTOPHER ST - BLEECKER ST,,40.733368,-74.004692,,,0,
401568,,CHRISTOPHER ST - HUDSON ST,,40.733143,-74.006157,,,0,
401569,,CHRISTOPHER ST - GREENWICH ST,,40.732853,-74.007927,,,0,
401570,,CHRISTOPHER ST - WASHINGTON ST,,40.732666,-74.009064,,,0,
903030,,WEST ST - CHRISTOPHER ST,,40.732494,-74.010132,,,0,
401528,,WEST ST - CHRISTOPHER ST,,40.732845,-74.010078,,,0,
401529,,W 10 ST - WASHINGTON ST,,40.733242,-74.008644,,,0,
403313,,W 10 ST - GREENWICH ST,,40.733475,-74.007462,,,0,
403312,,W 10 ST - HUDSON ST,,40.733776,-74.005852,,,0,
401531,,W 10 ST - BLEECKER ST,,40.734005,-74.004257,,,0,
401532,,W 10 ST - 7 AV S,,40.73423,-74.002586,,,0,
401533,,W 10 ST - WAVERLY PL,,40.734489,-74.001022,,,0,
401535,,GREENWICH AV - CHRISTOPHER ST,,40.734142,-73.999733,,,0,
401536,,W 8 ST - AV OF THE AMERICAS,,40.733368,-73.999161,,,0,
401538,,W 8 ST - 5 AV,,40.732239,-73.996483,,,0,
401542,,ST MARKS PL - 3 AV,,40.729324,-73.989532,,,0,
401543,,ST MARKS PL - 2 AV,,40.728611,-73.987846,,,0,
401544,,ST MARKS PL - 1 AV,,40.727383,-73.984924,,,0,
401545,,ST MARKS PL - AV A,,40.726719,-73.983353,,,0,
401547,,E 10 ST - AV A,,40.727646,-73.98188,,,0,
401548,,E 10 ST - AV B,,40.726673,-73.979591,,,0,
401549,,E 10 ST - AV C,,40.725666,-73.977219,,,0,
401591,,E 10 ST - AV D,,40.724869,-73.975319,,,0,
903126,,1 AV - E 23 ST,,40.736546,-73.978333,,,0,
404264,,FDR DR - E 23 ST,,40.735191,-73.97522,,,0,
402054,,AV C - E 20 ST,,40.732468,-73.974586,,,0,
402055,,AV C - E 18 ST,,40.731274,-73.974297,,,0,
402056,,AV C - E 16 ST,,40.73003,-73.974884,,,0,
402057,,AV C - E 14 ST,,40.729141,-73.975471,,,0,
401589,,AV C - E 12 ST,,40.726597,-73.977119,,,0,
403307,,AV C - E 10 ST,,40.725624,-73.977837,,,0,
403306,,AV C - E 8 ST,,40.724442,-73.978699,,,0,
403305,,AV C - E 6 ST,,40.723244,-73.979576,,,0,
403304,,AV C - E 3 ST,,40.721382,-73.980904,,,0,
403303,,E HOUSTON ST - AV C,,40.720989,-73.981735,,,0,
402067,,E HOUSTON ST - AV B,,40.721722,-73.984154,,,0,
401202,,ESSEX ST - E HOUSTON ST,,40.721859,-73.98661,,,0,
403319,,ESSEX ST - RIVINGTON ST,,40.719585,-73.987778,,,0,
403318,,ESSEX ST - DELANCEY ST,,40.718246,-73.988472,,,0,
401206,,ESSEX ST - GRAND ST,,40.716866,-73.989182,,,0,
404287,,ESSEX ST - E BROADWAY,,40.714127,-73.99028,,,0,
401208,,E BROADWAY - PIKE ST,,40.713947,-73.992386,,,0,
401209,,E BROADWAY - MARKET ST,,40.71373,-73.99501,,,0,
903016,,E BROADWAY - CATHERINE ST,,40.713551,-73.997192,,,0,
803077,,PARK ROW - WORTH ST,,40.71347,-73.998871,,,0,
903146,,PARK ROW - BEEKMAN ST,,40.711746,-74.007378,,,0,
903145,,PARK ROW - BEEKMAN ST,,40.711552,-74.007309,,,0,
404857,,PARK ROW - ST JAMES PL,,40.713367,-73.99855,,,0,
401168,,E BROADWAY - FORSYTH ST,,40.713657,-73.994049,,,0,
401169,,E BROADWAY - PIKE ST,,40.713764,-73.992577,,,0,
405165,,ESSEX ST - CANAL ST,,40.715446,-73.989723,,,0,
403317,,ESSEX ST - GRAND ST,,40.71682,-73.989006,,,0,
